BasicAi,2,0.000999928,0.001999855,0.001000166,0.001999855,0.005999804,0.001199961,,,,,,,,,
AdvAI,2,0.001999855,0.180000067,0,0.181999922,0.04549998,,,,,,,,,,
BasicAi,2,0.000999928,0.001000166,0.000999928,0.002000093,0.000999928,0.000999928,0,0.006999969,0.000874996,,,,,,
AdvAI,2,0,0.174999952,0.001000166,0.558000088,0.419999838,0,1.154000044,0.164857149,,,,,,,
BasicAi,2,0.000999928,0,0.001999855,0.000999928,0.000999928,0.000999928,0.000999928,0,0.006999493,0.000777721,,,,,
AdvAI,2,0,0.161999941,0,0.420000076,0.001000166,0.512000084,0,1.095000267,0.136875033,,,,,,
BasicAi,3,0.000999928,0.000999928,0.000999928,0.000999928,0.000999928,0.001000166,0.002000093,0.001999855,0.002000093,0.002000093,0.002000093,0.001999855,0.000999928,0.018999815,0.00135713
AdvAI,3,0.000999928,4.898999929,0,8.359999895,0.000999928,6.758999825,0.000999928,0.000999928,0.001000166,0,0.000999928,6.09800005,0,26.1219995,1.865857107
BasicAi,3,0.000999928,0.000999928,0.000999928,0.000999928,0.001000166,0.000999928,0.000999928,0.006999731,0.000874966,,,,,,
AdvAI,3,0.000999928,3.99000001,0.000999928,6.687000036,7.798000097,0.000999928,18.47799993,2.639714275,,,,,,,
BasicAi,3,0.000999928,0.001000166,0.001999855,0.003000021,0.000999928,0.000999928,0.001000166,0.002000093,0.002000093,0.002000093,0.001000166,0.017000437,0.001416703,,
AdvAI,3,0.001000166,7.657999992,0.000999928,7.476999998,6.140999794,7.154000044,6.368000031,7.947999954,0.001000166,0.000999928,42.75,3.886363636,,,
